fold,candidate_index,mean_inner_neg_rmse,std_inner_neg_rmse,is_1se_selected,params
1,74,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 15}"
1,75,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 20}"
1,76,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 25}"
1,77,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 30}"
1,78,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 40}"
1,79,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 50}"
1,80,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pls', 'reg__n_components': 60}"
1,81,-75.2842671009069,10.105064366305903,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,82,-68.21785986091788,10.028735313549696,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,83,-58.96753911755023,8.70645109511101,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,84,-57.73353756152186,6.502075671078558,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 20}"
1,85,-56.25824436981876,9.569056037218168,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 25}"
1,86,-56.25824436981876,9.569056037218168,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 30}"
1,87,-56.25824436981876,9.569056037218168,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 40}"
1,88,-56.25824436981876,9.569056037218168,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 50}"
1,89,-56.25824436981876,9.569056037218168,False,"{'reg__alpha': 0.0657933224657568, 'reg__model': 'pcr', 'reg__n_components': 60}"
1,90,-63.96240944059018,5.679524865430491,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 5}"
1,91,-64.91711000076782,6.612169778498526,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 10}"
1,92,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 15}"
1,93,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 20}"
1,94,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 25}"
1,95,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 30}"
1,96,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 40}"
1,97,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 50}"
1,98,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pls', 'reg__n_components': 60}"
1,99,-75.28277845047549,10.103887992608726,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,100,-68.21276307374188,10.036320016848094,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,101,-58.966354779605425,8.706034497135281,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,102,-57.72764273156509,6.507880988817412,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 20}"
1,103,-56.2496119286711,9.537303079271705,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 25}"
1,104,-56.2496119286711,9.537303079271705,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 30}"
1,105,-56.2496119286711,9.537303079271705,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 40}"
1,106,-56.2496119286711,9.537303079271705,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 50}"
1,107,-56.2496119286711,9.537303079271705,False,"{'reg__alpha': 0.1873817422860383, 'reg__model': 'pcr', 'reg__n_components': 60}"
1,108,-63.96240944059018,5.679524865430491,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 5}"
1,109,-64.91711000076782,6.612169778498526,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 10}"
1,110,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 15}"
1,111,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 20}"
1,112,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 25}"
1,113,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 30}"
1,114,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 40}"
1,115,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 50}"
1,116,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pls', 'reg__n_components': 60}"
1,117,-75.27855719495543,10.100544445884047,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,118,-68.19846498071382,10.057718653266257,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,119,-58.96351704332019,8.705112254929425,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,120,-57.711905512655264,6.524587650721006,False,"{'reg__alpha': 0.5336699231206307, 'reg__model': 'pcr', 'reg__n_components': 20}"
